ID,title,status,Dernière modification,is_global,themes,profiles,,link
,Mettre en place 100 Campus Connectés en 2022,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Enseignement supérieur et recherche,Numérique",Etudiant,à inclure sur OLDOLF,
,Mettre en place une bourse de 1000€ pour encourager la mobilité ,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Enseignement supérieur et recherche,Pouvoir d'achat",Etudiant,à inclure sur OLDOLF,
,Verser les bourses dès le mois d'août et avant le 5 de chaque mois.,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Enseignement supérieur et recherche,Pouvoir d'achat",Etudiant,à inclure sur OLDOLF,
,Créer une caution locative gratuite accessible à tous les étudiants.,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Enseignement supérieur et recherche,Logement",Etudiant,à inclure sur OLDOLF,
,Reconnaitre le prénom d'usage pour les étudiants transgenres dans les Universités. ,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Enseignement supérieur et recherche,Société",Etudiant,à inclure sur OLDOLF,
,Tripler les bourses pour les étudiants étrangers,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Enseignement supérieur et recherche,Asile et immigration",Etudiant,à inclure sur OLDOLF,
,Favoriser la mobilité des chercheurs du public vers le privé et la création d’entreprises,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,Enseignement supérieur et recherche,Etudiant,à inclure sur OLDOLF,
,Simplifier les seuils sociaux applicables aux PME,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Entreprises,Fiscalité",En recherche d’emploi,à inclure sur OLDOLF,
,Obliger les entreprises à prendre en considération les enjeux sociaux et environnementaux dans leurs stratégies,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Entreprises,Transition écologique","Famille,Étudiant,Retraité,Agent public,Indépendant,Salarié
Agriculteur",à inclure sur OLDOLF,
,Numériser complètement la procédure de création d'entreprises et baisser son coût,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Entreprises,Numérique",En recherche d’emploi,à inclure sur OLDOLF,
,Mieux controler les investissements étrangers en France dans nos entreprises stratégiques,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,Entreprises ,,à inclure sur OLDOLF,
,Permettre la création de fondations actionnaires pour protéger l'emploi,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"EntreprisesTravail,Economie sociale et solidaire",Salarié,à inclure sur OLDOLF,
,Créer le statut d'entreprises à mission ,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Entreprises,Économie sociale et solidaire,","Famille,Étudiant,Retraité,Agent public,Indépendant,Salarié
Agriculteur",à inclure sur OLDOLF,
,Evaluer l'impact de la réforme de l'ISF en 2020,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,Fiscalité,,à inclure sur OLDOLF,
,Créer une police fiscale,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Fiscalité,Justice",,à inclure sur OLDOLF,
,Mettre en place le name and shame pour les entreprises fraudeuses,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,Fiscalité Justice,,à inclure sur OLDOLF,
,Mettre fin au verrou de Bercy,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Fiscalité,Justice",,à inclure sur OLDOLF,
,Renforcer les sanctions des fraudeurs fiscaux,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Fiscalité,Justice",,à inclure sur OLDOLF,
,Créer des droits à vie ,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,Handicap,,à inclure sur OLDOLF,
, Améliorer l'accès aux loisirs pour les enfants en situation de handicap,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Hanidcap,Education",Famille,à inclure sur OLDOLF,
,Tripler les unités d’enseignement autisme en école maternelle d’ici à 2022,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Handicap,Education",Famille,à inclure sur OLDOLF,
,Réformer l’obligation d’emploi des travailleurs handicapés ,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Handicap,Travail,Entreprises",En recherche d'emploi,à inclure sur OLDOLF,
