"code","name","code_department"
"0101",Ambérieu-en-Bugey,"01"
"0102",Attignat,"01"
"0103",Bellegarde-sur-Valserine,"01"
"0104",Belley,"01"
"0105",Bourg-en-Bresse-1,"01"
"0106",Bourg-en-Bresse-2,"01"
"0107",Ceyzériat,"01"
"0108",Châtillon-sur-Chalaronne,"01"
"0109",Gex,"01"
"0110",Hauteville-Lompnes,"01"
"0111",Lagnieu,"01"
"0112",Meximieux,"01"
"0113",Miribel,"01"
"0114",Nantua,"01"
"0115",Oyonnax,"01"
"0116",Pont-d'Ain,"01"
"0117",Replonges,"01"
"0118",Saint-Étienne-du-Bois,"01"
"0119",Saint-Genis-Pouilly,"01"
"0120",Thoiry,"01"
"0121",Trévoux,"01"
"0122",Villars-les-Dombes,"01"
"0123",Vonnas,"01"
"0199",Bourg-en-Bresse,"01"
"0301",Bellerive-sur-Allier,"03"
"0302",Bourbon-l'Archambault,"03"
"0303",Commentry,"03"
"0304",Cusset,"03"
"0305",Dompierre-sur-Besbre,"03"
"0306",Gannat,"03"
"0307",Huriel,"03"
"0308",Lapalisse,"03"
"0309",Montluçon-1,"03"
"0310",Montluçon-2,"03"
"0311",Montluçon-3,"03"
"0312",Montluçon-4,"03"
"0313",Moulins-1,"03"
"0314",Moulins-2,"03"
"0315",Saint-Pourçain-sur-Sioule,"03"
"0316",Souvigny,"03"
"0317",Vichy-1,"03"
"0318",Vichy-2,"03"
"0319",Yzeure,"03"
"0397",Montluçon,"03"
"0398",Moulins,"03"
"0399",Vichy,"03"
"0701",Annonay-1,"07"
"0702",Annonay-2,"07"
"0703",Aubenas-1,"07"
"0704",Aubenas-2,"07"
"0705",Bourg-Saint-Andéol,"07"
"0706",Haut-Eyrieux,"07"
"0707",Guilherand-Granges,"07"
"0708",Haut-Vivarais,"07"
"0709",Le Pouzin,"07"
"0710",Privas,"07"
"0711",Sarras,"07"
"0712",Berg-Helvie,"07"
"0713",Haute-Ardèche,"07"
"0714",Tournon-sur-Rhône,"07"
"0715",Vallon-Pont-d'Arc,"07"
"0716",Les Cévennes Ardéchoises,"07"
"0717",Rhône-Eyrieux,"07"
"0798",Annonay,"07"
"0799",Aubenas,"07"
"1501",Arpajon-sur-Cère,"15"
"1502",Aurillac-1,"15"
"1503",Aurillac-2,"15"
"1504",Aurillac-3,"15"
"1505",Mauriac,"15"
"1506",Maurs,"15"
"1507",Murat,"15"
"1508",Naucelles,"15"
"1509",Neuvéglise-sur-Truyère,"15"
"1510",Riom-ès-Montagnes,"15"
"1511",Saint-Flour-1,"15"
"1512",Saint-Flour-2,"15"
"1513",Saint-Paul-des-Landes,"15"
"1514",Vic-sur-Cère,"15"
"1515",Ydes,"15"
"1598",Aurillac,"15"
"1599",Saint-Flour,"15"
"2601",Bourg-de-Péage,"26"
"2602",Crest,"26"
"2603",Dieulefit,"26"
"2604",Le Diois,"26"
"2605",Drôme des collines,"26"
"2606",Grignan,"26"
"2607",Loriol-sur-Drôme,"26"
"2608",Montélimar-1,"26"
"2609",Montélimar-2,"26"
"2610",Nyons et Baronnies,"26"
"2611",Romans-sur-Isère,"26"
"2612",Saint-Vallier,"26"
"2613",Tain-l'Hermitage,"26"
"2614",Le Tricastin,"26"
"2615",Valence-1,"26"
"2616",Valence-2,"26"
"2617",Valence-3,"26"
"2618",Valence-4,"26"
"2619",Vercors-Monts du Matin,"26"
"2697",Montélimar,"26"
"2698",Romans-sur-Isère,"26"
"2699",Valence,"26"
"3801",Bièvre,"38"
"3802",Bourgoin-Jallieu,"38"
"3803",Chartreuse-Guiers,"38"
"3804",Charvieu-Chavagneux,"38"
"3805",Échirolles,"38"
"3806",Fontaine-Seyssinet,"38"
"3807",Fontaine-Vercors,"38"
"3808",Le Grand-Lemps,"38"
"3809",Grenoble-1,"38"
"3810",Grenoble-2,"38"
"3811",Grenoble-3,"38"
"3812",Grenoble-4,"38"
"3813",Le Haut-Grésivaudan,"38"
"3814",L'Isle-d'Abeau,"38"
"3815",Matheysine-Trièves,"38"
"3816",Meylan,"38"
"3817",Morestel,"38"
"3818",Le Moyen Grésivaudan,"38"
"3819",Oisans-Romanche,"38"
"3820",Le Pont-de-Claix,"38"
"3821",Roussillon,"38"
"3822",Saint-Martin-d'Hères,"38"
"3823",Le Sud Grésivaudan,"38"
"3824",La Tour-du-Pin,"38"
"3825",Tullins,"38"
"3826",La Verpillière,"38"
"3827",Vienne-1,"38"
"3828",Vienne-2,"38"
"3829",Voiron,"38"
"3897",Fontaine,"38"
"3898",Grenoble,"38"
"3899",Vienne,"38"
"4201",Andrézieux-Bouthéon,"42"
"4202",Boën-sur-Lignon,"42"
"4203",Charlieu,"42"
"4204",Le Coteau,"42"
"4205",Feurs,"42"
"4206",Firminy,"42"
"4207",Montbrison,"42"
"4208",Le Pilat,"42"
"4209",Renaison,"42"
"4210",Rive-de-Gier,"42"
"4211",Roanne-1,"42"
"4212",Roanne-2,"42"
"4213",Saint-Chamond,"42"
"4214",Saint-Etienne-1,"42"
"4215",Saint-Etienne-2,"42"
"4216",Saint-Etienne-3,"42"
"4217",Saint-Etienne-4,"42"
"4218",Saint-Etienne-5,"42"
"4219",Saint-Etienne-6,"42"
"4220",Saint-Just-Saint-Rambert,"42"
"4221",Sorbiers,"42"
"4298",Roanne,"42"
"4299",Saint-Étienne,"42"
"4301",Aurec-sur-Loire,"43"
"4302",Bas-en-Basset,"43"
"4303",Boutières,"43"
"4304",Brioude,"43"
"4305",Les Deux Rivières et Vallées,"43"
"4306",Emblavez-et-Meygal,"43"
"4307",Gorges de l'Allier-Gévaudan,"43"
"4308",Mézenc,"43"
"4309",Monistrol-sur-Loire,"43"
"4310",Pays de Lafayette,"43"
"4311",Plateau du Haut-Velay granitique,"43"
"4312",Le Puy-en-Velay-1,"43"
"4313",Le Puy-en-Velay-2,"43"
"4314",Le Puy-en-Velay-3,"43"
"4315",Le Puy-en-Velay-4,"43"
"4316",Saint-Paulien,"43"
"4317",Sainte-Florine,"43"
"4318",Velay volcanique,"43"
"4319",Yssingeaux,"43"
"4399",Le Puy-en-Velay,"43"
"6301",Aigueperse,"63"
"6302",Ambert,"63"
"6303",Aubière,"63"
"6304",Beaumont,"63"
"6305",Billom,"63"
"6306",Brassac-les-Mines,"63"
"6307",Cébazat,"63"
"6308",Chamalières,"63"
"6309",Châtel-Guyon,"63"
"6310",Clermont-Ferrand-1,"63"
"6311",Clermont-Ferrand-2,"63"
"6312",Clermont-Ferrand-3,"63"
"6313",Clermont-Ferrand-4,"63"
"6314",Clermont-Ferrand-5,"63"
"6315",Clermont-Ferrand-6,"63"
"6316",Cournon-d'Auvergne,"63"
"6317",Gerzat,"63"
"6318",Issoire,"63"
"6319",Lezoux,"63"
"6320",Maringues,"63"
"6321",Les Martres-de-Veyre,"63"
"6322",Les Monts du Livradois,"63"
"6323",Orcines,"63"
"6324",Pont-du-Château,"63"
"6325",Riom,"63"
"6326",Saint-Éloy-les-Mines,"63"
"6327",Saint-Georges-de-Mons,"63"
"6328",Saint-Ours,"63"
"6329",Le Sancy,"63"
"6330",Thiers,"63"
"6331",Vic-le-Comte,"63"
"6399",Clermont-Ferrand,"63"
"6901",Anse,"69"
"6902",L'Arbresle,"69"
"6903",Belleville,"69"
"6904",Le Bois-d'Oingt,"69"
"6905",Brignais,"69"
"6906",Genas,"69"
"6907",Gleizé,"69"
"6908",Mornant,"69"
"6909",Saint-Symphorien-d'Ozon,"69"
"6910",Tarare,"69"
"6911",Thizy-les-Bourgs,"69"
"6912",Vaugneray,"69"
"6913",Villefranche-sur-Saône,"69"
"7301",Aix-les-Bains-1,"73"
"7302",Aix-les-Bains-2,"73"
"7303",Albertville-1,"73"
"7304",Albertville-2,"73"
"7305",Bourg-Saint-Maurice,"73"
"7306",Bugey savoyard,"73"
"7307",Chambéry-1,"73"
"7308",Chambéry-2,"73"
"7309",Chambéry-3,"73"
"7310",Modane,"73"
"7311",Montmélian,"73"
"7312",La Motte-Servolex,"73"
"7313",Moûtiers,"73"
"7314",Le Pont-de-Beauvoisin,"73"
"7315",La Ravoire,"73"
"7316",Saint-Alban-Leysse,"73"
"7317",Saint-Jean-de-Maurienne,"73"
"7318",Saint-Pierre-d'Albigny,"73"
"7319",Ugine,"73"
"7397",Aix-les-Bains,"73"
"7398",Albertville,"73"
"7399",Chambéry,"73"
"7401",Annecy-1,"74"
"7402",Annecy-2,"74"
"7403",Annecy-le-Vieux,"74"
"7404",Annemasse,"74"
"7405",Bonneville,"74"
"7406",Cluses,"74"
"7407",Évian-les-Bains,"74"
"7408",Faverges,"74"
"7409",Gaillard,"74"
"7410",Le Mont-Blanc,"74"
"7411",La Roche-sur-Foron,"74"
"7412",Rumilly,"74"
"7413",Saint-Julien-en-Genevois,"74"
"7414",Sallanches,"74"
"7415",Sciez,"74"
"7416",Seynod,"74"
"7417",Thonon-les-Bains,"74"
"7499",Annecy,"74"
"0401",Barcelonnette,"04"
"0402",Castellane,"04"
"0403",Château-Arnoux-Saint-Auban,"04"
"0404",Digne-les-Bains-1,"04"
"0405",Digne-les-Bains-2,"04"
"0406",Forcalquier,"04"
"0407",Manosque-1,"04"
"0408",Manosque-2,"04"
"0409",Manosque-3,"04"
"0410",Oraison,"04"
"0411",Reillanne,"04"
"0412",Riez,"04"
"0413",Seyne,"04"
"0414",Sisteron,"04"
"0415",Valensole,"04"
"0498",Digne-les-Bains,"04"
"0499",Manosque,"04"
"0501",L'Argentière-la-Bessée,"05"
"0502",Briançon-1,"05"
"0503",Briançon-2,"05"
"0504",Chorges,"05"
"0505",Embrun,"05"
"0506",Gap-1,"05"
"0507",Gap-2,"05"
"0508",Gap-3,"05"
"0509",Gap-4,"05"
"0510",Guillestre,"05"
"0511",Laragne-Montéglin,"05"
"0512",Saint-Bonnet-en-Champsaur,"05"
"0513",Serres,"05"
"0514",Tallard,"05"
"0515",Veynes,"05"
"0598",Briançon,"05"
"0599",Gap,"05"
"0601",Antibes-1,"06"
"0602",Antibes-2,"06"
"0603",Antibes-3,"06"
"0604",Beausoleil,"06"
"0605",Cagnes-sur-Mer-1,"06"
"0606",Cagnes-sur-Mer-2,"06"
"0607",Cannes-1,"06"
"0608",Cannes-2,"06"
"0609",Le Cannet,"06"
"0610",Contes,"06"
"0611",Grasse-1,"06"
"0612",Grasse-2,"06"
"0613",Mandelieu-la-Napoule,"06"
"0614",Menton,"06"
"0615",Nice-1,"06"
"0616",Nice-2,"06"
"0617",Nice-3,"06"
"0618",Nice-4,"06"
"0619",Nice-5,"06"
"0620",Nice-6,"06"
"0621",Nice-7,"06"
"0622",Nice-8,"06"
"0623",Nice-9,"06"
"0624",Tourrette-Levens,"06"
"0625",Valbonne,"06"
"0626",Vence,"06"
"0627",Villeneuve-Loubet,"06"
"0694",Antibes,"06"
"0695",Cagnes-sur-Mer,"06"
"0696",Cannes,"06"
"0697",Le Cannet,"06"
"0698",Grasse,"06"
"0699",Nice,"06"
"1301",Aix-en-Provence-1,"13"
"1302",Aix-en-Provence-2,"13"
"1303",Allauch,"13"
"1304",Arles,"13"
"1305",Aubagne,"13"
"1306",Berre-l'Étang,"13"
"1307",Châteaurenard,"13"
"1308",La Ciotat,"13"
"1309",Gardanne,"13"
"1310",Istres,"13"
"1311",Marignane,"13"
"1312",Marseille-1,"13"
"1313",Marseille-2,"13"
"1314",Marseille-3,"13"
"1315",Marseille-4,"13"
"1316",Marseille-5,"13"
"1317",Marseille-6,"13"
"1318",Marseille-7,"13"
"1319",Marseille-8,"13"
"1320",Marseille-9,"13"
"1321",Marseille-10,"13"
"1322",Marseille-11,"13"
"1323",Marseille-12,"13"
"1324",Martigues,"13"
"1325",Pélissanne,"13"
"1326",Salon-de-Provence-1,"13"
"1327",Salon-de-Provence-2,"13"
"1328",Trets,"13"
"1329",Vitrolles,"13"
"1397",Aix-en-Provence,"13"
"1398",Marseille,"13"
"1399",Salon-de-Provence,"13"
"8301",Brignoles,"83"
"8302",La Crau,"83"
"8303",Draguignan,"83"
"8304",Flayosc,"83"
"8305",Fréjus,"83"
"8306",La Garde,"83"
"8307",Garéoult,"83"
"8308",Hyères,"83"
"8309",Le Luc,"83"
"8310",Ollioules,"83"
"8311",Roquebrune-sur-Argens,"83"
"8312",Saint-Cyr-sur-Mer,"83"
"8313",Saint-Maximin-la-Sainte-Baume,"83"
"8314",Saint-Raphaël,"83"
"8315",Sainte-Maxime,"83"
"8316",La Seyne-sur-Mer-1,"83"
"8317",La Seyne-sur-Mer-2,"83"
"8318",Solliès-Pont,"83"
"8319",Toulon-1,"83"
"8320",Toulon-2,"83"
"8321",Toulon-3,"83"
"8322",Toulon-4,"83"
"8323",Vidauban,"83"
"8396",Fréjus,"83"
"8397",Hyères,"83"
"8398",La Seyne-sur-Mer,"83"
"8399",Toulon,"83"
"8401",Apt,"84"
"8402",Avignon-1,"84"
"8403",Avignon-2,"84"
"8404",Avignon-3,"84"
"8405",Bollène,"84"
"8406",Carpentras,"84"
"8407",Cavaillon,"84"
"8408",Cheval-Blanc,"84"
"8409",L'Isle-sur-la-Sorgue,"84"
"8410",Monteux,"84"
"8411",Orange,"84"
"8412",Pernes-les-Fontaines,"84"
"8413",Pertuis,"84"
"8414",Le Pontet,"84"
"8415",Sorgues,"84"
"8416",Vaison-la-Romaine,"84"
"8417",Valréas,"84"
"8499",Avignon,"84"
"7701",Champs-sur-Marne,"77"
"7702",Chelles,"77"
"7703",Claye-Souilly,"77"
"7704",Combs-la-Ville,"77"
"7705",Coulommiers,"77"
"7706",La Ferté-sous-Jouarre,"77"
"7707",Fontainebleau,"77"
"7708",Fontenay-Trésigny,"77"
"7709",Lagny-sur-Marne,"77"
"7710",Meaux,"77"
"7711",Melun,"77"
"7712",Mitry-Mory,"77"
"7713",Montereau-Fault-Yonne,"77"
"7714",Nangis,"77"
"7715",Nemours,"77"
"7716",Ozoir-la-Ferrière,"77"
"7717",Pontault-Combault,"77"
"7718",Provins,"77"
"7719",Saint-Fargeau-Ponthierry,"77"
"7720",Savigny-le-Temple,"77"
"7721",Serris,"77"
"7722",Torcy,"77"
"7723",Villeparisis,"77"
"7801",Aubergenville,"78"
"7802",Bonnières-sur-Seine,"78"
"7803",Chatou,"78"
"7804",Le Chesnay,"78"
"7805",Conflans-Sainte-Honorine,"78"
"7806",Houilles,"78"
"7807",Limay,"78"
"7808",Mantes-la-Jolie,"78"
"7809",Maurepas,"78"
"7810",Montigny-le-Bretonneux,"78"
"7811",Les Mureaux,"78"
"7812",Plaisir,"78"
"7813",Poissy,"78"
"7814",Rambouillet,"78"
"7815",Saint-Cyr-l'École,"78"
"7816",Saint-Germain-en-Laye,"78"
"7817",Sartrouville,"78"
"7818",Trappes,"78"
"7819",Verneuil-sur-Seine,"78"
"7820",Versailles-1,"78"
"7821",Versailles-2,"78"
"7899",Versailles,"78"
"9101",Arpajon,"91"
"9102",Athis-Mons,"91"
"9103",Brétigny-sur-Orge,"91"
"9104",Corbeil-Essonnes,"91"
"9105",Dourdan,"91"
"9106",Draveil,"91"
"9107",Épinay-sous-Sénart,"91"
"9108",Étampes,"91"
"9109",Évry,"91"
"9110",Gif-sur-Yvette,"91"
"9111",Longjumeau,"91"
"9112",Massy,"91"
"9113",Mennecy,"91"
"9114",Palaiseau,"91"
"9115",Ris-Orangis,"91"
"9116",Sainte-Geneviève-des-Bois,"91"
"9117",Savigny-sur-Orge,"91"
"9118",Les Ulis,"91"
"9119",Vigneux-sur-Seine,"91"
"9120",Viry-Châtillon,"91"
"9121",Yerres,"91"
"9198",Brunoy,"91"
"9199",Montgeron,"91"
"9201",Antony,"92"
"9202",Asnières-sur-Seine,"92"
"9203",Bagneux,"92"
"9204",Boulogne-Billancourt-1,"92"
"9205",Boulogne-Billancourt-2,"92"
"9206",Châtenay-Malabry,"92"
"9207",Châtillon,"92"
"9208",Clamart,"92"
"9209",Clichy,"92"
"9210",Colombes-1,"92"
"9211",Colombes-2,"92"
"9212",Courbevoie-1,"92"
"9213",Courbevoie-2,"92"
"9214",Gennevilliers,"92"
"9215",Issy-les-Moulineaux,"92"
"9216",Levallois-Perret,"92"
"9217",Meudon,"92"
"9218",Montrouge,"92"
"9219",Nanterre-1,"92"
"9220",Nanterre-2,"92"
"9221",Neuilly-sur-Seine,"92"
"9222",Rueil-Malmaison,"92"
"9223",Saint-Cloud,"92"
"9295",Asnières-sur-Seine,"92"
"9296",Boulogne-Billancourt,"92"
"9297",Colombes,"92"
"9298",Courbevoie,"92"
"9299",Nanterre,"92"
"9301",Aubervilliers,"93"
"9302",Aulnay-sous-Bois,"93"
"9303",Bagnolet,"93"
"9304",Le Blanc-Mesnil,"93"
"9305",Bobigny,"93"
"9306",Bondy,"93"
"9307",La Courneuve,"93"
"9308",Drancy,"93"
"9309",Épinay-sur-Seine,"93"
"9310",Gagny,"93"
"9311",Livry-Gargan,"93"
"9312",Montreuil-1,"93"
"9313",Montreuil-2,"93"
"9314",Noisy-le-Grand,"93"
"9315",Pantin,"93"
"9316",Saint-Denis-1,"93"
"9317",Saint-Denis-2,"93"
"9318",Saint-Ouen,"93"
"9319",Sevran,"93"
"9320",Tremblay-en-France,"93"
"9321",Villemomble,"93"
"9395",Bobigny,"93"
"9396",Drancy,"93"
"9397",Épinay-sur-Seine,"93"
"9398",Montreuil,"93"
"9399",Saint-Denis,"93"
"9401",Alfortville,"94"
"9402",Cachan,"94"
"9403",Champigny-sur-Marne-1,"94"
"9404",Champigny-sur-Marne-2,"94"
"9405",Charenton-le-Pont,"94"
"9406",Choisy-le-Roi,"94"
"9407",Créteil-1,"94"
"9408",Créteil-2,"94"
"9409",Fontenay-sous-Bois,"94"
"9410",L'Haÿ-les-Roses,"94"
"9411",Ivry-sur-Seine,"94"
"9412",Le Kremlin-Bicêtre,"94"
"9413",Maisons-Alfort,"94"
"9414",Nogent-sur-Marne,"94"
"9415",Orly,"94"
"9416",Plateau briard,"94"
"9417",Saint-Maur-des-Fossés-1,"94"
"9418",Saint-Maur-des-Fossés-2,"94"
"9419",Thiais,"94"
"9420",Villejuif,"94"
"9421",Villeneuve-Saint-Georges,"94"
"9422",Villiers-sur-Marne,"94"
"9423",Vincennes,"94"
"9424",Vitry-sur-Seine-1,"94"
"9425",Vitry-sur-Seine-2,"94"
"9493",Champigny-sur-Marne,"94"
"9494",Créteil,"94"
"9495",Nogent-sur-Marne,"94"
"9496",Saint-Maur-des-Fossés,"94"
"9497",Villeneuve-Saint-Georges,"94"
"9498",Vincennes,"94"
"9499",Vitry-sur-Seine,"94"
"9501",Argenteuil-1,"95"
"9502",Argenteuil-2,"95"
"9503",Argenteuil-3,"95"
"9504",Cergy-1,"95"
"9505",Cergy-2,"95"
"9506",Deuil-la-Barre,"95"
"9507",Domont,"95"
"9508",Ermont,"95"
"9509",Fosses,"95"
"9510",Franconville,"95"
"9511",Garges-lès-Gonesse,"95"
"9512",Goussainville,"95"
"9513",Herblay,"95"
"9514",L'Isle-Adam,"95"
"9515",Montmorency,"95"
"9516",Pontoise,"95"
"9517",Saint-Ouen-l'Aumône,"95"
"9518",Sarcelles,"95"
