"code","name","postal_code","population","code_department","code_city_community","code_canton"
"06004",Antibes,"06600,06160",73798,"06","240600585","0601,0602,0603,0694"
"06007",Auribeau-sur-Siagne,"06810",3245,"06","200039857","0613"
"06010",Le Bar-sur-Loup,"06620",2976,"06","240600585","0625"
"06011",Beaulieu-sur-Mer,"06310",3721,"06","200030195","0604"
"06012",Beausoleil,"06240",13884,"06","240600551","0604"
"06018",Biot,"06410",9804,"06","240600585","0603"
"06027",Cagnes-sur-Mer,"06800",49902,"06","200030195","0605,0606,0695"
"06029",Cannes,"06150,06400",74152,"06","200039915","0607,0608,0696"
"06030",Le Cannet,"06110",41612,"06","200039915","0609,0697"
"06032",Cap-d'Ail,"06320",4658,"06","200030195","0604"
"06033",Carros,"06510",11614,"06","200030195","0617"
"06038",Châteauneuf-Grasse,"06740",3364,"06","240600585","0625"
"06044",La Colle-sur-Loup,"06480",7866,"06","240600585","0627"
"06046",Colomars,"06670",3397,"06","200030195","0624"
"06048",Contes,"06390",7420,"06","240600593","0610"
"06054",Drap,"06340",4508,"06","240600593","0610"
"06057",L'Escarène,"06440",2507,"06","240600593","0610"
"06064",Gattières,"06510",4115,"06","200030195","0617"
"06065",La Gaude,"06610",6430,"06","200030195","0606"
"06069",Grasse,"06520,06130",50677,"06","200039857","0611,0612,0698"
"06075",Levens,"06670",4703,"06","200030195","0624"
"06079",Mandelieu-la-Napoule,"06210",22168,"06","200039915","0613"
"06083",Menton,"06500",28486,"06","240600551","0614"
"06084",Mouans-Sartoux,"06370",9668,"06","200039857","0612"
"06085",Mougins,"06250",19047,"06","200039915","0609"
"06088",Nice,"06300,06000,06100,06200",342637,"06","200030195","0615,0616,0617,0618,0619,0620,0621,0622,0623,0699"
"06090",Pégomas,"06580",7909,"06","200039857","0613"
"06095",Peymeinade,"06530",8119,"06","200039857","0611"
"06104",Roquebrune-Cap-Martin,"06190",12903,"06","240600551","0614"
"06105",Roquefort-les-Pins,"06330",6695,"06","240600585","0627"
"06108",La Roquette-sur-Siagne,"06550",5393,"06","200039857","0613"
"06112",Le Rouret,"06650",4010,"06","240600585","0625"
"06114",Saint-André-de-la-Roche,"06730",5340,"06","200030195","0621"
"06118",Saint-Cézaire-sur-Siagne,"06530",3913,"06","200039857","0611"
"06122",Saint-Jeannet,"06640",4099,"06","200030195","0626"
"06123",Saint-Laurent-du-Var,"06700",28645,"06","200030195","0606"
"06126",Saint-Martin-du-Var,"06670",2940,"06","200030195","0624"
"06128",Saint-Paul-de-Vence,"06570",3456,"06","240600585","0627"
"06130",Saint-Vallier-de-Thiey,"06460",3560,"06","200039857","0611"
"06136",Sospel,"06380",3815,"06","240600551","0610"
"06140",Le Tignet,"06530",3228,"06","200039857","0611"
"06147",Tourrette-Levens,"06690",4919,"06","200030195","0624"
"06148",Tourrettes-sur-Loup,"06140",3988,"06","240600585","0625"
"06149",La Trinité,"06340",10083,"06","200030195","0621"
