"code","name","postal_code","population","code_department","code_city_community","code_canton"
"01123",Cormoranche-sur-Saône,"01290",1118,"01","200070555","0123"
"01124",Cormoz,"01560",662,"01","200071751","0118"
"01125",Corveissiat,"01250",625,"01","200071751","0118"
"01127",Courmangoux,"01370",505,"01","200071751","0118"
"01128",Courtes,"01560",310,"01","200071751","0117"
"01129",Crans,"01320",263,"01","200069193","0107"
"01130",Bresse Vallons,"01340",2263,"01","200071751","0102"
"01133",Cressin-Rochefort,"01350",393,"01","200040350","0104"
"01134",Crottet,"01290,01750",1734,"01","200070555","0123"
"01135",Crozet,"01170",2126,"01","240100750","0120"
"01136",Cruzilles-lès-Mépillat,"01290",855,"01","200070555","0123"
"01138",Culoz,"01350",3053,"01","200040350","0110"
"01139",Curciat-Dongalon,"01560",443,"01","200071751","0117"
"01140",Curtafond,"01310",770,"01","200071751","0102"
"01141",Cuzieu,"01300",436,"01","200040350","0104"
"01142",Dagneux,"01120",4706,"01","240100610","0112"
"01143",Divonne-les-Bains,"01220",9465,"01","240100750","0109"
"01145",Dompierre-sur-Veyle,"01240",1164,"01","200071751","0107"
"01146",Dompierre-sur-Chalaronne,"01400",431,"01","200069193","0108"
"01147",Domsure,"01270",483,"01","200071751","0118"
"01148",Dortan,"01590",1846,"01","200042935","0116"
"01149",Douvres,"01500",1053,"01","240100883","0101"
"01150",Drom,"01250",217,"01","200071751","0118"
"01151",Druillat,"01160",1157,"01","200071751","0107"
"01152",Échallon,"01130",760,"01","200042935","0114"
"01153",Échenevex,"01170",2172,"01","240100750","0120"
"01155",Évosges,"01230",145,"01","200042935","0110"
"01156",Faramans,"01800",801,"01","240100883","0112"
"01157",Fareins,"01480",2203,"01","200042497","0122"
"01158",Farges,"01550",1013,"01","240100750","0120"
"01159",Feillens,"01570",3254,"01","200071371","0117"
"01160",Ferney-Voltaire,"01210",9637,"01","240100750","0119"
"01162",Flaxieu,"01350",69,"01","200040350","0104"
"01163",Foissiat,"01340",2062,"01","200071751","0102"
"01165",Francheleins,"01090",1574,"01","200070118","0122"
"01166",Frans,"01480",2334,"01","200042497","0121"
"01167",Garnerans,"01140",654,"01","200070118","0108"
"01169",Genouilleux,"01090",600,"01","200070118","0108"
"01170",Béard-Géovreissiat,"01460",1039,"01","200042935","0114"
"01171",Géovreisset,"01100",891,"01","200042935","0114"
"01173",Gex,"01170",12652,"01","240100750","0109"
